id,name,set,set_name,rarity,type_line,colors,color_identity,mana_cost,power,toughness,oracle_text,keywords
00502ed1-4364-41cd-b717-1f9e38d1afe6,Howlgeist,j22,Jumpstart 2022,uncommon,Creature — Spirit Wolf,['G'],['G'],{5}{G},4,2,"Creatures with power less than Howlgeist's power can't block it.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",['Undying']
012f1dab-24c5-4bcd-bcc0-d282f28c8689,Overcome,j22,Jumpstart 2022,uncommon,Sorcery,['G'],['G'],{3}{G}{G},,,Creatures you control get +2/+2 and gain trample until end of turn. (They can deal excess combat damage to the player or planeswalker they're attacking.),[]
0208c551-a4de-43c7-bd4c-12d24ae179c1,Vendilion Clique,j22,Jumpstart 2022,mythic,Legendary Creature — Faerie Wizard,['U'],['U'],{1}{U}{U},3,1,"Flash
Flying
When Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card.","['Flying', 'Flash']"
024b3bfd-3d2b-4f45-b015-2d94fe2f2bb3,Seize the Storm,j22,Jumpstart 2022,uncommon,Sorcery,['R'],['R'],{4}{R},,,"Create a red Elemental creature token with trample and ""This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.""
Flashback {6}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",['Flashback']
0265b7d1-5646-4974-ae6a-34b1fa2281b4,Ordeal of Purphoros,j22,Jumpstart 2022,uncommon,Enchantment — Aura,['R'],['R'],{1}{R},,,"Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Purphoros.
When you sacrifice Ordeal of Purphoros, it deals 3 damage to any target.",['Enchant']
026f06a2-9d89-4cf7-aa4c-fe7ca4163511,Bonders' Enclave,j22,Jumpstart 2022,rare,Land,[],[],,,,"{T}: Add {C}.
{3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.",[]
028bd68c-24bf-4808-80d7-051012ff90e1,Skyhunter Patrol,j22,Jumpstart 2022,common,Creature — Cat Knight,['W'],['W'],{2}{W}{W},2,3,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","['Flying', 'First strike']"
02e77f29-8ce1-4a18-871c-d69853bfd9db,Self-Assembler,j22,Jumpstart 2022,common,Artifact Creature — Assembly-Worker,[],[],{5},4,4,"When Self-Assembler enters the battlefield, you may search your library for an Assembly-Worker creature card, reveal it, put it into your hand, then shuffle.",[]
0301cb90-5b50-4ea6-968c-3641baccb140,Stalking Drone,j22,Jumpstart 2022,common,Creature — Eldrazi Drone,[],['G'],{1}{G},2,2,"Devoid (This card has no color.)
{C}: Stalking Drone gets +1/+2 until end of turn. Activate only once each turn. ({C} represents colorless mana.)",['Devoid']
03c0f16f-55c5-4334-bcec-08bf46d71d88,Woodland Champion,j22,Jumpstart 2022,uncommon,Creature — Elf Scout,['G'],['G'],{1}{G},2,2,"Whenever one or more tokens enter the battlefield under your control, put that many +1/+1 counters on Woodland Champion.",[]
