deck_name,card_name,card_count
Vehicles,"Lita, Mechanical Engineer",1
Vehicles,Peacewalker Colossus,1
Vehicles,Hotshot Mechanic,1
Vehicles,Imperial Recovery Unit,1
Vehicles,Aethershield Artificer,1
Vehicles,Aerial Modification,1
Vehicles,Kitsune Ace,1
Vehicles,Sanctum Gargoyle,1
Vehicles,Built to Last,1
Vehicles,Caught in the Brights,1
Vehicles,Giant Ox,1
Vehicles,Aradara Express,1
Vehicles,Thriving Heath,1
Vehicles,Plains,7
Knights,The Circle of Loyalty,1
Knights,"Balan, Wandering Knight",1
Knights,"Danitha Capashen, Paragon",1
Knights,"Kwende, Pride of Femeref",1
Knights,"Syr Alin, the Lion's Claw",1
Knights,Hero's Blade,1
Knights,Chains of Custody,1
Knights,Order of the Golden Cricket,1
Knights,Shining Armor,1
Knights,Jousting Lance,1
Knights,Benalish Honor Guard,1
Knights,Skyhunter Prowler,1
Knights,Thriving Heath,1
Knights,Plains,7
Constellation (1),Archon of Sun's Grace,1
Constellation (1),Sage's Reverie,1
Constellation (1),Blessed Spirits,1
Constellation (1),Favored of Iroas,1
Constellation (1),Spectral Steel,1
Constellation (1),Chains of Custody,1
Constellation (1),Glory Bearers,1
Constellation (1),Transcendent Envoy,1
Constellation (1),Captivating Unicorn,1
Constellation (1),Forced Worship,1
Constellation (1),Pious Wayfarer,1
Constellation (1),Spirited Companion,1
Constellation (1),Thriving Heath,1
Constellation (1),Plains,7
Constellation (2),Sigil of the Empty Throne,1
Constellation (2),Sage's Reverie,1
Constellation (2),Blessed Spirits,1
Constellation (2),Spectral Steel,1
Constellation (2),Alseid of Life's Bounty,1
Constellation (2),Chains of Custody,1
Constellation (2),Transcendent Envoy,1
Constellation (2),Auramancer,1
Constellation (2),Glory Bearers,1
Constellation (2),Captivating Unicorn,1
Constellation (2),Dreadful Apathy,1
Constellation (2),Spirited Companion,1
Constellation (2),Thriving Heath,1
Constellation (2),Plains,7
Teamwork (1),"Agrus Kos, Eternal Soldier",1
Teamwork (1),"Taranika, Akroan Veteran",1
Teamwork (1),Angelic Cub,1
Teamwork (1),Valorous Stance,1
Teamwork (1),Angelic Protector,1
Teamwork (1),Dragon Blood,1
Teamwork (1),Task Force,1
Teamwork (1),Infantry Veteran,1
Teamwork (1),Cavalry Drillmaster,1
Teamwork (1),Combat Professor,1
Teamwork (1),Moment of Triumph,1
